Pollutant,State,City ,NoOfLocationsUsed,Readings,IdealReadings,Year,Values,id
PM-10,West Bengal,Barrackpore,3,305,312,2016,106,1
PM-10,West Bengal,Barrackpore,3,312,312,2018,108,2
PM-10,West Bengal,Barrackpore,0,0,104,2019,0,3
PM-10,West Bengal,Barrackpore,4,312,416,2017,90,4
PM-2.5,West Bengal,Barrackpore,3,311,312,2016,58,5
PM-2.5,West Bengal,Haldia,0,0,104,2016,0,6
PM-2.5,West Bengal,Howrah,3,311,312,2016,69,7
PM-2.5,West Bengal,Kolkata,0,0,104,2016,0,8
PM-10,West Bengal,Haldia,4,416,416,2016,103,9
PM-10,West Bengal,Haldia,4,416,416,2018,99,10
PM-10,West Bengal,Haldia,0,0,104,2019,0,11
PM-10,West Bengal,Haldia,4,416,416,2017,97,12
PM-2.5,West Bengal,Raniganj,0,0,104,2016,0,13
PM-2.5,West Bengal,Durgapur,0,0,104,2016,0,14
PM-2.5,West Bengal,Asansol,1,86,104,2016,88,15
PM-2.5,Uttarakhand,Kashipur,0,0,104,2016,0,16
PM-10,West Bengal,Howrah,3,312,312,2016,119,17
PM-10,West Bengal,Howrah,4,584,416,2018,179,18
PM-10,West Bengal,Howrah,0,0,104,2019,0,19
PM-10,West Bengal,Howrah,4,416,416,2017,110,20
PM-2.5,Uttarakhand,Rishikesh,0,0,104,2016,0,21
PM-2.5,Uttarakhand,Dehradun,0,0,104,2016,0,22
PM-2.5,Uttar Pradesh,Jhansi,0,0,104,2016,0,23
PM-2.5,Uttar Pradesh,Allahabad,0,0,104,2016,0,24
PM-10,West Bengal,Kolkata,9,886,936,2016,113,25
PM-10,West Bengal,Kolkata,21,2833,2184,2018,144,26
PM-10,West Bengal,Kolkata,12,85,1248,2019,66,27
PM-10,West Bengal,Kolkata,19,1972,1976,2017,120,28
PM-2.5,Uttar Pradesh,Rai Bareilly,0,0,104,2016,0,29
PM-2.5,Uttar Pradesh,Anpara/ Sonbhadra,0,0,104,2016,0,30
PM-2.5,Uttar Pradesh,Agra,0,0,104,2016,0,31
PM-2.5,Uttar Pradesh,Bareilly,0,0,104,2016,0,32
PM-10,West Bengal,Raniganj,3,312,312,2016,214,33
PM-10,West Bengal,Raniganj,3,312,312,2018,147,34
PM-10,West Bengal,Raniganj,1,9,104,2019,220,35
PM-10,West Bengal,Raniganj,4,414,416,2017,165,36
PM-2.5,Uttar Pradesh,Gajraula,0,0,104,2016,0,37
PM-2.5,Uttar Pradesh,Khurja,0,0,104,2016,0,38
PM-2.5,Uttar Pradesh,Noida,0,0,104,2016,0,39
PM-2.5,Uttar Pradesh,Moradabad,0,0,104,2016,0,40
PM-10,West Bengal,Durgapur,4,414,416,2016,196,41
PM-10,West Bengal,Durgapur,4,416,416,2018,141,42
PM-10,West Bengal,Durgapur,0,0,104,2019,0,43
PM-10,West Bengal,Durgapur,4,415,416,2017,155,44
PM-2.5,Uttar Pradesh,Firozabad,0,0,104,2016,0,45
PM-2.5,Uttar Pradesh,Kanpur,0,0,104,2016,0,46
PM-2.5,Uttar Pradesh,Varanasi,0,0,104,2016,0,47
PM-2.5,Uttar Pradesh,Lucknow,0,0,104,2016,0,48
PM-10,West Bengal,Asansol,3,295,312,2016,211,49
PM-10,West Bengal,Asansol,3,321,312,2018,128,50
PM-10,West Bengal,Asansol,2,15,208,2019,234,51
PM-10,West Bengal,Asansol,3,312,312,2017,163,52
PM-2.5,Uttar Pradesh,Ghaziabad,0,0,104,2016,0,53
PM-2.5,Telangana,Nalgonda,1,9,104,2016,35,54
PM-2.5,Telangana,Patancheru,1,56,104,2016,38,55
PM-2.5,Telangana,Sangareddy,1,87,104,2016,28,56
PM-10,Uttarakhand,Kashipur,1,98,104,2016,126,57
PM-10,Uttarakhand,Kashipur,1,96,104,2018,105,58
PM-10,Uttarakhand,Kashipur,1,15,104,2019,120,59
PM-10,Uttarakhand,Kashipur,1,96,104,2017,111,60
PM-2.5,Telangana,Hyderabad,8,533,832,2016,49,61
PM-2.5,Tamil Nadu,Trichy,0,0,104,2016,0,62
PM-2.5,Tamil Nadu,Thoothukudi/ Tuticorin,0,0,104,2016,0,63
PM-2.5,Rajasthan,Udaipur,0,0,104,2016,0,64
PM-10,Uttarakhand,Rishikesh,1,85,104,2016,119,65
PM-10,Uttarakhand,Rishikesh,1,83,104,2018,133,66
PM-10,Uttarakhand,Rishikesh,1,17,104,2019,141,67
PM-10,Uttarakhand,Rishikesh,1,85,104,2017,128,68
PM-2.5,Rajasthan,Kota,0,0,104,2016,0,69
PM-2.5,Rajasthan,Alwar,0,0,104,2016,0,70
PM-2.5,Rajasthan,Jaipur,0,0,104,2016,0,71
PM-2.5,Rajasthan,Jodhpur,0,0,104,2016,0,72
PM-10,Uttarakhand,Dehradun,3,71.33,312,2016,241,73
PM-10,Uttarakhand,Dehradun,3,180,312,2018,217,74
PM-10,Uttarakhand,Dehradun,1,40,104,2019,166,75
PM-10,Uttarakhand,Dehradun,3,135,312,2017,248,76
PM-2.5,Punjab,Dera Baba Nanak,0,0,104,2016,0,77
PM-2.5,Punjab,Naya Nangal,0,0,104,2016,0,78
PM-2.5,Punjab,Dera Bassi,0,0,104,2016,0,79
PM-2.5,Punjab,Patiala,0,0,104,2016,0,80
PM-10,Uttar Pradesh,Jhansi,2,222,208,2016,116,81
PM-10,Uttar Pradesh,Jhansi,2,238,208,2018,96,82
PM-10,Uttar Pradesh,Jhansi,0,0,104,2019,0,83
