id,srno,state,city,pm10,monitors-p10,readings-pm10,ideal-pm10,percent-pm10,pm25,monitors-pm25,readings-pm25,ideal-pm25,percent-pm25,year
1,1,Andhra Pradesh,Anantapur,85,1,106,104,102,,0,0,0,0,2016
2,2,Andhra Pradesh,Chitoor,62,2,214,208,103,,0,0,0,0,2016
3,3,Andhra Pradesh,Eluru,70,1,108,104,104,,0,0,0,0,2016
4,4,Andhra Pradesh,Guntur,88,1,101,104,97,,0,0,0,0,2016
5,5,Andhra Pradesh,Kadapa,68,1,108,104,104,,0,0,0,0,2016
6,6,Andhra Pradesh,Kurnool,69,1,108,104,104,,0,0,0,0,2016
7,7,Andhra Pradesh,Nellore,66,1,107,104,103,,0,0,0,0,2016
8,8,Andhra Pradesh,Ongole,65,1,98,104,94,,0,0,0,0,2016
9,9,Andhra Pradesh,Rajahmundry,64,1,102,104,98,,0,0,0,0,2016
10,10,Andhra Pradesh,Srikakulam,71,1,102,104,98,,0,0,0,0,2016
11,11,Andhra Pradesh,Vijaywada,102,3,297,312,95,,0,0,0,0,2016
12,12,Andhra Pradesh,Vishakhapatnam,77,8,855,832,103,,0,0,0,0,2016
13,13,Andhra Pradesh,Vizianagaram,85,1,97,104,93,,0,0,0,0,2016
14,14,Assam,Guwahati,105,6,1288,624,206,,0,0,0,0,2016
15,15,Assam,Nagaon,111,1,55,104,53,,0,0,0,0,2016
16,16,Assam,Nalbari,108,1,103,104,99,,0,0,0,0,2016
17,17,Assam,Sibsagar,75,2,191,208,92,,0,0,0,0,2016
18,18,Assam,Silchar,58,2,168,208,81,,0,0,0,0,2016
19,19,Bihar,Gaya,,0,0,0,0,,0,0,0,0,2016
20,20,Bihar,Muzaffarpur,,0,0,0,0,,0,0,0,0,2016
21,21,Bihar,Patna,212,2,201,208,97,,0,0,0,0,2016
22,22,Chandigarh,Chandigarh,105,5,659,520,127,123,5,68,520,13,2016
23,23,Chattisgarh,Durg-Bhillainagar,108,3,248,312,79,,0,0,0,0,2016
24,24,Chattisgarh,Korba,,0,0,0,0,,0,0,0,0,2016
25,25,Chattisgarh,Raipur,148,2,129,208,62,,0,0,0,0,2016
26,26,Delhi,Delhi,278,9,848,936,91,118,7,564,728,77,2016
27,27,Gujarat,Ahmedabad,108,8,719,832,86,34,8,719,832,86,2016
28,28,Gujarat,Rajkot,93,2,202,208,97,32,2,202,208,97,2016
29,29,Gujarat,Surat,92,3,278,312,89,31,3,278,312,89,2016
30,30,Gujarat,Vadodara,93,3,257,312,82,30,3,257,312,82,2016
31,31,Himachal Pradesh,Baddi,90,3,163,312,52,,0,0,0,0,2016
32,32,Himachal Pradesh,Damtal,85,2,271,208,130,,0,0,0,0,2016
33,33,Himachal Pradesh,Kala Amb,129,2,311,208,150,,0,0,0,0,2016
