id,srno,state,city,pm10,monitors-p10,readings-pm10,pm25,monitors-pm25,readings-pm25,year
1,1,Andhra Pradesh,Anantapur,85,1,106,,0,0,2016
2,2,Andhra Pradesh,Chitoor,62,2,214,,0,0,2016
3,3,Andhra Pradesh,Eluru,70,1,108,,0,0,2016
4,4,Andhra Pradesh,Guntur,88,1,101,,0,0,2016
5,5,Andhra Pradesh,Kadapa,68,1,108,,0,0,2016
6,6,Andhra Pradesh,Kurnool,69,1,108,,0,0,2016
7,7,Andhra Pradesh,Nellore,66,1,107,,0,0,2016
8,8,Andhra Pradesh,Ongole,65,1,98,,0,0,2016
9,9,Andhra Pradesh,Rajahmundry,64,1,102,,0,0,2016
10,10,Andhra Pradesh,Srikakulam,71,1,102,,0,0,2016
11,11,Andhra Pradesh,Vijaywada,102,3,297,,0,0,2016
12,12,Andhra Pradesh,Vishakhapatnam,77,8,855,,0,0,2016
13,13,Andhra Pradesh,Vizianagaram,85,1,97,,0,0,2016
14,14,Assam,Guwahati,105,6,1288,,0,0,2016
15,15,Assam,Nagaon,111,1,55,,0,0,2016
16,16,Assam,Nalbari,108,1,103,,0,0,2016
17,17,Assam,Sibsagar,75,2,191,,0,0,2016
18,18,Assam,Silchar,58,2,168,,0,0,2016
19,19,Bihar,Gaya,,0,0,,0,0,2016
20,20,Bihar,Muzaffarpur,,0,0,,0,0,2016
21,21,Bihar,Patna,212,2,201,,0,0,2016
22,22,Chandigarh,Chandigarh,105,5,659,123,5,68,2016
23,23,Chattisgarh,Durg-Bhillainagar,108,3,248,,0,0,2016
24,24,Chattisgarh,Korba,,0,0,,0,0,2016
25,25,Chattisgarh,Raipur,148,2,129,,0,0,2016
26,26,Delhi,Delhi,278,9,848,118,7,564,2016
27,27,Gujarat,Ahmedabad,108,8,719,34,8,719,2016
28,28,Gujarat,Rajkot,93,2,202,32,2,202,2016
29,29,Gujarat,Surat,92,3,278,31,3,278,2016
30,30,Gujarat,Vadodara,93,3,257,30,3,257,2016
31,31,Himachal Pradesh,Baddi,90,3,163,,0,0,2016
32,32,Himachal Pradesh,Damtal,85,2,271,,0,0,2016
33,33,Himachal Pradesh,Kala Amb,129,2,311,,0,0,2016
34,34,Himachal Pradesh,Nalagarh,108,1,113,,0,0,2016
35,35,Himachal Pradesh,Paonta Sahib,102,2,277,,0,0,2016
36,36,Himachal Pradesh,Parwanoo,70,2,276,,0,0,2016
37,37,Himachal Pradesh,Sunder Nagar,92,2,260,,0,0,2016
38,38,Jammu & Kashmir,Jammu,131,3,275,,0,0,2016
39,39,Jammu & Kashmir,Srinagar,,0,0,,0,0,2016
40,40,Jharkhand,Dhanbad,226,3,245,,0,0,2016
41,41,Jharkhand,Jamshedpur,136,2,123,,0,0,2016
42,42,Jharkhand,Ranchi,196,1,64,,0,0,2016
43,43,Karnataka,Bangalore,103,8,731,51,5,429,2016
44,44,Karnataka,Devanagere,94,3,157,,0,0,2016
45,45,Karnataka,Gulbarga,60,1,101,,0,0,2016
46,46,Karnataka,Hubli-Dharwad,84,2,208,36,2,161,2016
47,47,Madhya Pradesh,Bhopal,89,7,501,27,7,301,2016
48,48,Madhya Pradesh,Dewas,89,3,283,,0,0,2016
49,49,Madhya Pradesh,Gwalior,96,2,146,52,2,12,2016
50,50,Madhya Pradesh,Indore,95,3,269,53,3,272,2016
51,51,Madhya Pradesh,Jabalpur,71,2,118,32,2,106,2016
52,52,Madhya Pradesh,Sagar,79,1,94,30,2,146,2016
53,53,Madhya Pradesh,Ujjain,90,4,280,44,4,197,2016
54,54,Maharashtra,Akola,126,3,300,,0,0,2016
55,55,Maharashtra,Amravati,100,3,223,,0,0,2016
56,56,Maharashtra,Aurangabad,92,3,300,,0,0,2016
57,57,Maharashtra,Badlapur,125,1,75,,0,0,2016
58,58,Maharashtra,Chandrapur,111,6,744,,0,0,2016
59,59,Maharashtra,Jalgaon,103,3,308,,0,0,2016
60,60,Maharashtra,Jalna,110,2,191,,0,0,2016
61,61,Maharashtra,Kolhapur,96,3,251,,0,0,2016
62,62,Maharashtra,Latur,81,3,326,,0,0,2016
63,63,Maharashtra,Mumbai,119,2,151,,0,0,2016
64,64,Maharashtra,Nagpur,118,7,859,,0,0,2016
65,65,Maharashtra,Nashik,85,4,622,,0,0,2016
66,66,Maharashtra,Navi Mumbai,118,6,661,,0,0,2016
67,67,Maharashtra,Pune,107,3,290,,0,0,2016
68,68,Maharashtra,Sangli,83,3,339,,0,0,2016
69,69,Maharashtra,Solapur,74,2,205,,0,0,2016
70,70,Maharashtra,Thane,122,3,287,,0,0,2016
71,71,Maharashtra,Ulhasnagar,118,2,147,,0,0,2016
72,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2016
73,73,Meghalaya,Byrnihat,175,1,75,,0,0,2016
74,74,Nagaland,Dimapur,122,2,192,,0,0,2016
75,75,Nagaland,Kohima,90,2,199,,0,0,2016
76,76,Orissa,Angul,97,2,210,,0,0,2016
77,77,Orissa,Balasore,85,3,258,47,3,253,2016
78,78,Orissa,Bhubaneswar,105,6,517,36,6,451,2016
79,79,Orissa,Cuttack,81,3,317,42,3,310,2016
80,80,Orissa,Kalinga Nagar,113,3,295,46,3,281,2016
81,81,Orissa,Rourkela,75,5,365,45,2,131,2016
82,82,Orissa,Talcher,105,2,212,35,5,356,2016
83,83,Punjab,Amritsar,194,3,129,,0,0,2016
84,84,Punjab,Dera Baba Nanak,89,1,98,,0,0,2016
85,85,Punjab,Dera Bassi,98,2,204,,0,0,2016
86,86,Punjab,Gobindgarh,148,5,513,,0,0,2016
87,87,Punjab,Jalandhar,,0,0,,0,0,2016
88,88,Punjab,Khanna,114,2,254,,0,0,2016
89,89,Punjab,Ludhiana,139,4,503,,0,0,2016
90,90,Punjab,Naya Nangal,91,2,183,,0,0,2016
91,91,Punjab,Patiala,106,2,232,,0,0,2016
92,92,Rajasthan,Alwar,144,3,299,,0,0,2016
93,93,Rajasthan,Jaipur,199,6,604,,0,0,2016
94,94,Rajasthan,Jodhpur,168,6,606,,0,0,2016
95,95,Rajasthan,Kota,110,6,470,,0,0,2016
96,96,Rajasthan,Udaipur,137,3,315,,0,0,2016
97,97,Tamil Nadu,Chennai,65,11,842,,0,0,2016
98,98,Tamil Nadu,Madurai,76,3,239,,0,0,2016
99,99,Tamil Nadu,Trichy,95,5,351,,0,0,2016
100,100,Tamil Nadu,Tuticorin,175,3,251,,0,0,2016
101,101,Telangana,Hyderabad,100,10,913,49,8,533,2016
102,102,Telangana,Nalgonda,62,2,205,35,1,9,2016
103,103,Telangana,Patancheru,78,1,106,33,3,216,2016
104,104,Telangana,Sangareddy,,0,0,,0,0,2016
105,105,Uttar Pradesh,Agra,198,6,805,,0,0,2016
106,106,Uttar Pradesh,Allahabad,195,5,532,,0,0,2016
107,107,Uttar Pradesh,Anpara,132,2,163,,0,0,2016
108,108,Uttar Pradesh,Bareily,253,2,104,,0,0,2016
109,109,Uttar Pradesh,Firozabad,223,2,212,,0,0,2016
110,110,Uttar Pradesh,Gajraula,193,2,200,,0,0,2016
111,111,Uttar Pradesh,Ghaziabad,236,2,219,,0,0,2016
112,112,Uttar Pradesh,Gorakhpur,,0,0,,0,0,2016
113,113,Uttar Pradesh,Jhansi,116,2,222,,0,0,2016
114,114,Uttar Pradesh,Kanpur,217,8,507,,0,0,2016
115,115,Uttar Pradesh,Khurja,216,2,178,,0,0,2016
116,116,Uttar Pradesh,Lucknow,214,7,692,,0,0,2016
117,117,Uttar Pradesh,Meerut,158,2,128,,0,0,2016
118,118,Uttar Pradesh,Moradabad,196,2,203,,0,0,2016
119,119,Uttar Pradesh,Noida,176,2,175,,0,0,2016
120,120,Uttar Pradesh,Raebareli,141,3,255,,0,0,2016
121,121,Uttar Pradesh,Varanasi,,0,0,,0,0,2016
122,122,Uttarakhand,Dehradun,241,3,214,,0,0,2016
123,123,Uttarakhand,Kashipur,126,1,98,,0,0,2016
124,124,Uttarakhand,Rishikesh,119,1,85,,0,0,2016
125,125,West Bengal,Asansol,211,3,295,88,1,86,2016
126,126,West Bengal,Barrackpore,106,3,305,58,3,311,2016
127,127,West Bengal,Durgapur,196,4,414,,0,0,2016
128,128,West Bengal,Faridabad,,0,0,,0,0,2016
129,129,West Bengal,Haldia,103,5,416,,0,0,2016
130,130,West Bengal,Howrah,119,3,312,69,6,519,2016
